Emp ID,Month,Days Present,Leave Days,Overtime Hours
DB1021,2026-02,20,2,0
DB1021,2026-03,20,2,2
DB1021,2026-04,20,2,2
DB1021,2026-05,17,5,2
DB1021,2026-06,18,4,0
DB1022,2026-01,22,0,N/A
DB1022,2026-02,22,0,6
DB1022,2026-03,21,1,N/A
DB1022,2026-04,17,5,0
DB1022,2026-05,20,2,4
DB1022,2026-06,20,2,2
DB1023,2026-01,21,1,0
DB1023,2026-02,19,3,4
DB1023,2026-03,18,4,4
DB1023,2026-04,18,4,6
DB1023,2026-05,18,4,6
DB1023,2026-06,21,1,N/A
DB1025,2026-01,21,1,4
DB1025,2026-02,18,4,8
DB1025,2026-03,19,3,0
DB1025,2026-04,18,4,8
DB1025,2026-05,20,2,0
DB1025,2026-06,17,5,4
DB1026,2026-01,22,0,2
DB1026,2026-02,22,0,0
DB1026,2026-03,19,3,8
DB1026,2026-04,19,3,6
DB1026,2026-05,19,3,0
DB1026,2026-06,20,2,8
DB1027,2026-01,17,5,0
DB1027,2026-02,21,1,4
DB1027,2026-03,20,2,N/A
DB1027,2026-04,19,3,N/A
DB1027,2026-05,18,4,0
DB1027,2026-06,21,1,2
DB1028,2026-01,20,2,N/A
DB1028,2026-02,20,2,0
DB1028,2026-03,17,5,2
DB1028,2026-04,22,0,N/A
DB1028,2026-05,20,2,N/A
DB1028,2026-06,19,3,N/A
DB1029,2026-01,17,5,4
DB1029,2026-02,18,4,2
DB1029,2026-03,18,4,8
DB1029,2026-04,19,3,N/A
DB1029,2026-05,18,4,0
DB1029,2026-06,21,1,2
DB1030,2026-01,21,1,8
DB1030,2026-02,20,2,2
DB1030,2026-03,22,0,N/A
DB1030,2026-04,22,0,8
DB1030,2026-05,22,0,0
DB1030,2026-06,21,1,4
DB1031,2026-01,20,2,0
DB1031,2026-02,22,0,2
DB1031,2026-03,17,5,2
DB1031,2026-04,17,5,0
DB1031,2026-05,21,1,8
DB1031,2026-06,18,4,4
DB1032,2026-01,17,5,0
DB1032,2026-02,20,2,2
DB1032,2026-03,19,3,6
DB1032,2026-04,20,2,4
DB1032,2026-05,20,2,0
DB1032,2026-06,22,0,0
DB1033,2026-01,18,4,0
DB1033,2026-02,17,5,0
DB1033,2026-03,19,3,4
DB1033,2026-04,20,2,0
DB1033,2026-05,21,1,4
DB1033,2026-06,19,3,4
DB1034,2026-01,19,3,6
DB1034,2026-02,21,1,6
DB1034,2026-03,19,3,2
DB1034,2026-04,20,2,0
DB1034,2026-05,22,0,2
DB1034,2026-06,19,3,4
DB1035,2026-01,20,2,2
DB1035,2026-02,19,3,0
DB1035,2026-03,17,5,N/A
DB1035,2026-04,22,0,2
DB1035,2026-05,21,1,6
DB1035,2026-06,17,5,0
DB1036,2026-01,20,2,4
DB1036,2026-02,21,1,0
DB1036,2026-03,20,2,4
DB1036,2026-04,17,5,8
DB1036,2026-05,18,4,6
DB1036,2026-06,18,4,0
DB1037,2026-01,19,3,6
DB1037,2026-02,19,3,8
DB1037,2026-03,21,1,N/A
DB1037,2026-04,19,3,6
DB1037,2026-05,21,1,N/A
DB1037,2026-06,18,4,4
DB1038,2026-01,20,2,N/A
DB1038,2026-02,19,3,2
DB1038,2026-03,20,2,0
DB1038,2026-04,19,3,0
DB1038,2026-05,22,0,6
DB1038,2026-06,17,5,4
DB1039,2026-01,20,2,6
DB1039,2026-02,22,0,N/A
DB1039,2026-03,19,3,2
DB1039,2026-04,20,2,8
DB1039,2026-05,18,4,4
DB1039,2026-06,19,3,2
DB1040,2026-01,17,5,4
DB1040,2026-02,17,5,N/A
DB1040,2026-03,18,4,N/A
DB1040,2026-04,19,3,6
DB1040,2026-05,18,4,0
DB1040,2026-06,19,3,6
DB1042,2026-01,21,1,4
DB1042,2026-02,21,1,6
DB1042,2026-03,19,3,0
DB1042,2026-04,22,0,6
DB1042,2026-05,18,4,8
DB1042,2026-06,20,2,0
DB1043,2026-01,20,2,N/A
DB1043,2026-02,17,5,6
DB1043,2026-03,22,0,8
DB1043,2026-04,17,5,4
DB1043,2026-05,17,5,2
DB1043,2026-06,22,0,4
DB1044,2026-01,21,1,N/A
DB1044,2026-02,18,4,0
DB1044,2026-03,18,4,8
DB1044,2026-04,19,3,0
DB1044,2026-05,20,2,4
DB1044,2026-06,20,2,6
DB1045,2026-01,22,0,8
DB1045,2026-02,17,5,4
DB1045,2026-03,21,1,4
DB1045,2026-04,22,0,4
DB1045,2026-05,22,0,N/A
DB1045,2026-06,17,5,2
DB1046,2026-01,18,4,8
DB1046,2026-02,18,4,0
DB1046,2026-03,20,2,0
DB1046,2026-04,22,0,N/A
DB1046,2026-05,21,1,2
DB1046,2026-06,19,3,8
DB1047,2026-01,20,2,N/A
DB1047,2026-02,21,1,6
DB1047,2026-03,20,2,2
DB1047,2026-04,17,5,0
DB1047,2026-05,22,0,6
DB1047,2026-06,20,2,0
DB1049,2026-01,19,3,0
DB1049,2026-02,18,4,0
DB1049,2026-03,17,5,0
DB1049,2026-04,17,5,0
DB1049,2026-05,17,5,6
DB1049,2026-06,20,2,4
DB1050,2026-01,17,5,N/A
DB1050,2026-02,20,2,N/A
DB1050,2026-03,19,3,4
DB1050,2026-04,18,4,2
DB1050,2026-05,19,3,8
DB1050,2026-06,17,5,0
DB1051,2026-01,21,1,6
DB1051,2026-02,18,4,N/A
DB1051,2026-03,17,5,0
DB1051,2026-04,18,4,0
DB1051,2026-05,20,2,0
DB1051,2026-06,18,4,4
DB1052,2026-01,20,2,4
DB1052,2026-02,19,3,N/A
DB1052,2026-03,17,5,0
DB1052,2026-04,17,5,4
DB1052,2026-05,21,1,8
DB1052,2026-06,22,0,6
DB1053,2026-01,22,0,N/A
DB1053,2026-02,17,5,6
DB1053,2026-03,21,1,2
DB1053,2026-04,21,1,2
DB1053,2026-05,18,4,8
DB1053,2026-06,18,4,0
DB1054,2026-01,22,0,4
DB1054,2026-02,20,2,N/A
DB1054,2026-03,17,5,4
DB1054,2026-04,22,0,6
DB1054,2026-05,22,0,6
DB1054,2026-06,22,0,0
DB1055,2026-01,20,2,0
DB1055,2026-02,20,2,N/A
DB1055,2026-03,18,4,0
DB1055,2026-04,19,3,0
DB1055,2026-05,17,5,8
DB1055,2026-06,21,1,2
DB1056,2026-01,19,3,8
DB1056,2026-02,21,1,0
DB1056,2026-03,22,0,0
DB1056,2026-04,20,2,6
DB1056,2026-05,20,2,N/A
DB1056,2026-06,17,5,0
DB1057,2026-01,19,3,2
DB1057,2026-02,22,0,4
DB1057,2026-03,20,2,N/A
DB1057,2026-04,18,4,8
DB1057,2026-05,17,5,N/A
DB1057,2026-06,21,1,N/A
DB1058,2026-01,17,5,N/A
DB1058,2026-02,21,1,8
DB1058,2026-03,20,2,0
DB1058,2026-04,21,1,0
DB1058,2026-05,18,4,N/A
DB1058,2026-06,18,4,4
DB1059,2026-01,22,0,N/A
DB1059,2026-02,22,0,0
DB1059,2026-03,19,3,6
DB1059,2026-04,20,2,8
DB1059,2026-05,18,4,6
DB1059,2026-06,17,5,2
DB1060,2026-01,18,4,4
DB1060,2026-02,18,4,2
DB1060,2026-03,21,1,6
DB1060,2026-04,19,3,4
DB1060,2026-05,20,2,N/A
DB1060,2026-06,22,0,8
DB1062,2026-01,20,2,8
DB1062,2026-02,21,1,0
DB1062,2026-03,22,0,6
DB1062,2026-04,18,4,N/A
DB1062,2026-05,19,3,6
DB1062,2026-06,17,5,0
DB1063,2026-01,20,2,8
DB1063,2026-02,22,0,N/A
DB1063,2026-03,20,2,8
DB1063,2026-04,19,3,0
DB1063,2026-05,18,4,6
DB1063,2026-06,21,1,0
DB1064,2026-01,17,5,2
DB1064,2026-02,21,1,6
DB1064,2026-03,21,1,N/A
DB1064,2026-04,20,2,6
DB1064,2026-05,20,2,0
DB1064,2026-06,18,4,N/A
DB1065,2026-01,18,4,4
DB1065,2026-02,19,3,4
DB1065,2026-03,20,2,N/A
DB1065,2026-04,18,4,4
DB1065,2026-05,19,3,2
DB1065,2026-06,17,5,6
DB1066,2026-01,20,2,0
DB1066,2026-02,21,1,0
DB1066,2026-03,19,3,2
DB1066,2026-04,21,1,0
DB1066,2026-05,21,1,0
DB1066,2026-06,20,2,2
DB1068,2026-01,22,0,4
DB1068,2026-02,19,3,N/A
DB1068,2026-03,22,0,0
DB1068,2026-04,20,2,0
DB1068,2026-05,21,1,0
DB1068,2026-06,18,4,4
DB1069,2026-01,18,4,N/A
DB1069,2026-02,18,4,6
DB1069,2026-03,18,4,6
DB1069,2026-04,22,0,8
DB1069,2026-05,17,5,4
DB1069,2026-06,17,5,2
DB1070,2026-01,19,3,N/A
DB1070,2026-02,22,0,N/A
DB1070,2026-03,22,0,2
DB1070,2026-04,22,0,4
DB1070,2026-05,19,3,6
DB1070,2026-06,21,1,4
DB1072,2026-01,22,0,0
DB1072,2026-02,22,0,6
DB1072,2026-03,18,4,0
DB1072,2026-04,19,3,4
DB1072,2026-05,22,0,0
DB1072,2026-06,20,2,4
DB1073,2026-01,22,0,2
DB1073,2026-02,20,2,0
DB1073,2026-03,17,5,0
DB1073,2026-04,21,1,0
DB1073,2026-05,19,3,6
DB1073,2026-06,22,0,0
DB1074,2026-01,18,4,N/A
DB1074,2026-02,20,2,N/A
DB1074,2026-03,21,1,N/A
DB1074,2026-04,22,0,0
DB1074,2026-05,20,2,2
DB1074,2026-06,21,1,0
DB1075,2026-01,19,3,4
DB1075,2026-02,19,3,8
DB1075,2026-03,17,5,N/A
DB1075,2026-04,19,3,8
DB1075,2026-05,19,3,0
DB1075,2026-06,19,3,0
DB1076,2026-01,22,0,0
DB1076,2026-02,19,3,8
DB1076,2026-03,20,2,N/A
DB1076,2026-04,19,3,0
DB1076,2026-05,18,4,0
DB1076,2026-06,19,3,8
DB1078,2026-01,17,5,N/A
DB1078,2026-02,22,0,0
DB1078,2026-03,22,0,2
DB1078,2026-04,18,4,0
DB1078,2026-05,21,1,8
DB1078,2026-06,19,3,0
DB1079,2026-01,19,3,0
DB1079,2026-02,22,0,N/A
DB1079,2026-03,21,1,2
DB1079,2026-04,17,5,N/A
DB1079,2026-05,19,3,0
DB1079,2026-06,21,1,2
DB1080,2026-01,22,0,8
DB1080,2026-02,20,2,4
DB1080,2026-03,22,0,6
DB1080,2026-04,19,3,N/A
DB1080,2026-05,22,0,6
DB1080,2026-06,19,3,4
DB1081,2026-01,18,4,0
DB1081,2026-02,21,1,0
DB1081,2026-03,22,0,0
DB1081,2026-04,20,2,2
DB1081,2026-05,17,5,0
DB1081,2026-06,19,3,6
DB1082,2026-01,17,5,0
DB1082,2026-02,20,2,0
DB1082,2026-03,19,3,0
DB1082,2026-04,22,0,N/A
DB1082,2026-05,21,1,8
DB1082,2026-06,18,4,2
DB1083,2026-01,19,3,0
DB1083,2026-02,19,3,N/A
DB1083,2026-03,18,4,N/A
DB1083,2026-04,18,4,0
DB1083,2026-05,19,3,0
DB1083,2026-06,18,4,4
DB1084,2026-01,21,1,0
DB1084,2026-02,17,5,6
DB1084,2026-03,19,3,8
DB1084,2026-04,20,2,6
DB1084,2026-05,20,2,4
DB1084,2026-06,17,5,0
DB1085,2026-01,22,0,6
DB1085,2026-02,19,3,0
DB1085,2026-03,22,0,0
DB1085,2026-04,22,0,6
DB1085,2026-05,22,0,N/A
DB1085,2026-06,21,1,6
DB1086,2026-01,22,0,N/A
DB1086,2026-02,17,5,8
DB1086,2026-03,20,2,4
DB1086,2026-04,22,0,0
DB1086,2026-05,22,0,6
DB1086,2026-06,17,5,N/A
DB1087,2026-01,17,5,6
DB1087,2026-02,17,5,8
DB1087,2026-03,17,5,8
DB1087,2026-04,19,3,4
DB1087,2026-05,19,3,4
DB1087,2026-06,21,1,6
DB1088,2026-01,20,2,0
DB1088,2026-02,19,3,N/A
DB1088,2026-03,17,5,8
DB1088,2026-04,21,1,6
DB1088,2026-05,17,5,6
DB1088,2026-06,21,1,4
DB1089,2026-01,20,2,0
DB1089,2026-02,21,1,8
DB1089,2026-03,22,0,0
DB1089,2026-04,18,4,4
DB1089,2026-05,17,5,8
DB1089,2026-06,19,3,2
DB1090,2026-01,22,0,4
DB1090,2026-02,21,1,8
DB1090,2026-03,17,5,0
DB1090,2026-04,21,1,N/A
DB1090,2026-05,21,1,8
DB1090,2026-06,22,0,0
DB1091,2026-01,21,1,N/A
DB1091,2026-02,18,4,2
DB1091,2026-03,17,5,0
DB1091,2026-04,17,5,8
DB1091,2026-05,22,0,0
DB1091,2026-06,18,4,4
DB1092,2026-01,21,1,N/A
DB1092,2026-02,22,0,0
DB1092,2026-03,18,4,4
DB1092,2026-04,22,0,N/A
DB1092,2026-05,18,4,N/A
DB1092,2026-06,19,3,N/A
DB1093,2026-01,21,1,N/A
DB1093,2026-02,22,0,0
DB1093,2026-03,19,3,2
DB1093,2026-04,22,0,2
DB1093,2026-05,22,0,4
DB1093,2026-06,20,2,0
DB1094,2026-01,21,1,4
DB1094,2026-02,17,5,2
DB1094,2026-03,17,5,4
DB1094,2026-04,18,4,8
DB1094,2026-05,17,5,0
DB1094,2026-06,20,2,4
DB1095,2026-01,20,2,0
DB1095,2026-02,21,1,2
DB1095,2026-03,17,5,6
DB1095,2026-04,22,0,8
DB1095,2026-05,20,2,6
DB1095,2026-06,18,4,0
DB1096,2026-01,21,1,N/A
DB1096,2026-02,22,0,0
DB1096,2026-03,22,0,N/A
DB1096,2026-04,18,4,4
DB1096,2026-05,18,4,0
DB1096,2026-06,22,0,4
DB1097,2026-01,22,0,0
DB1097,2026-02,17,5,8
DB1097,2026-03,20,2,0
DB1097,2026-04,20,2,0
DB1097,2026-05,22,0,4
DB1097,2026-06,21,1,8
DB1098,2026-01,19,3,0
DB1098,2026-02,17,5,8
DB1098,2026-03,21,1,2
DB1098,2026-04,20,2,8
DB1098,2026-05,21,1,0
DB1098,2026-06,17,5,N/A
DB1100,2026-01,22,0,N/A
DB1100,2026-02,18,4,0
DB1100,2026-03,21,1,8
DB1100,2026-04,17,5,0
DB1100,2026-05,17,5,N/A
DB1100,2026-06,18,4,N/A
DB1101,2026-01,21,1,8
DB1101,2026-02,18,4,8
DB1101,2026-03,17,5,0
DB1101,2026-04,17,5,2
DB1101,2026-05,17,5,0
DB1101,2026-06,17,5,8
DB1102,2026-01,17,5,N/A
DB1102,2026-02,19,3,0
DB1102,2026-03,18,4,4
DB1102,2026-04,18,4,8
DB1102,2026-05,18,4,8
DB1102,2026-06,18,4,6
